game_pk,date,away_team,home_team,venue,day_night,away_runs,home_runs,total_runs,total_hr,weather_raw,wind_raw,season
661115,2022-07-15,New York Mets,Chicago Cubs,Wrigley Field,day,4,3,7,1,"69 degrees, Cloudy.","12 mph, L To R.",2022
661718,2022-07-16,Kansas City Royals,Toronto Blue Jays,Rogers Centre,day,5,6,11,1,"79 degrees, Sunny.","9 mph, R To L.",2022
662072,2022-07-16,Milwaukee Brewers,San Francisco Giants,Oracle Park,night,5,8,13,3,"61 degrees, Clear.","14 mph, Varies.",2022
661113,2022-07-16,Pittsburgh Pirates,Colorado Rockies,Coors Field,night,2,13,15,2,"86 degrees, Cloudy.","7 mph, Out To LF.",2022
661081,2022-07-16,Pittsburgh Pirates,Colorado Rockies,Coors Field,day,0,2,2,0,"92 degrees, Partly Cloudy.","11 mph, In From LF.",2022
662952,2022-07-16,Detroit Tigers,Cleveland Guardians,Progressive Field,day,0,10,10,3,"78 degrees, Cloudy.","2 mph, Out To RF.",2022
661115,2022-07-17,New York Mets,Chicago Cubs,Wrigley Field,night,4,3,7,1,"69 degrees, Cloudy.","12 mph, L To R.",2022
661809,2022-07-16,Seattle Mariners,Texas Rangers,Globe Life Field,day,3,2,5,1,"75 degrees, Roof Closed.","0 mph, None.",2022
662483,2022-07-16,Atlanta Braves,Washington Nationals,Nationals Park,day,6,3,9,2,"88 degrees, Cloudy.","4 mph, R To L.",2022
662909,2022-07-16,Oakland Athletics,Houston Astros,Minute Maid Park,day,0,5,5,1,"73 degrees, Roof Closed.","0 mph, None.",2022
662113,2022-07-16,Milwaukee Brewers,San Francisco Giants,Oracle Park,day,1,2,3,1,"69 degrees, Clear.","21 mph, Out To CF.",2022
661873,2022-07-16,Baltimore Orioles,Tampa Bay Rays,Tropicana Field,day,6,4,10,2,"72 degrees, Dome.","0 mph, None.",2022
661259,2022-07-16,Boston Red Sox,New York Yankees,Yankee Stadium,night,1,14,15,5,"78 degrees, Cloudy.","6 mph, R To L.",2022
662530,2022-07-17,Atlanta Braves,Washington Nationals,Nationals Park,day,3,7,10,2,"87 degrees, Overcast.","1 mph, R To L.",2022
661717,2022-07-17,Kansas City Royals,Toronto Blue Jays,Rogers Centre,day,2,4,6,2,"78 degrees, Partly Cloudy.","14 mph, In From LF.",2022
661359,2022-07-16,Philadelphia Phillies,Miami Marlins,loanDepot park,day,10,0,10,4,"72 degrees, Roof Closed.","0 mph, None.",2022
661258,2022-07-17,Boston Red Sox,New York Yankees,Yankee Stadium,day,2,13,15,3,"80 degrees, Partly Cloudy.","5 mph, Out To LF.",2022
662271,2022-07-17,Arizona Diamondbacks,San Diego Padres,Petco Park,night,3,4,7,2,"73 degrees, Cloudy.","7 mph, L To R.",2022
663415,2022-07-17,Los Angeles Dodgers,Los Angeles Angels,Angel Stadium,night,7,1,8,5,"77 degrees, Clear.","10 mph, R To L.",2022
661872,2022-07-17,Baltimore Orioles,Tampa Bay Rays,Tropicana Field,day,5,7,12,5,"72 degrees, Dome.","0 mph, None.",2022
661373,2022-07-17,Philadelphia Phillies,Miami Marlins,loanDepot park,day,4,0,4,1,"72 degrees, Dome.","0 mph, None.",2022
662908,2022-07-17,Oakland Athletics,Houston Astros,Minute Maid Park,day,4,3,7,3,"73 degrees, Roof Closed.","0 mph, None.",2022
661672,2022-07-17,Chicago White Sox,Minnesota Twins,Target Field,day,11,0,11,3,"87 degrees, Cloudy.","4 mph, L To R.",2022
661082,2022-07-17,New York Mets,Chicago Cubs,Wrigley Field,day,2,3,5,0,"71 degrees, Cloudy.","5 mph, In From CF.",2022
662269,2022-07-17,Arizona Diamondbacks,San Diego Padres,Petco Park,day,3,1,4,2,"72 degrees, Partly Cloudy.","7 mph, Varies.",2022
662775,2022-07-21,New York Yankees,Houston Astros,Minute Maid Park,night,5,7,12,5,"72 degrees, Roof Closed.","0 mph, None.",2022
662059,2022-07-17,Milwaukee Brewers,San Francisco Giants,Oracle Park,day,5,9,14,4,"65 degrees, Partly Cloudy.","14 mph, Varies.",2022
661821,2022-07-17,Seattle Mariners,Texas Rangers,Globe Life Field,day,6,2,8,3,"75 degrees, Roof Closed.","0 mph, None.",2022
661965,2022-07-17,Cincinnati Reds,St. Louis Cardinals,Busch Stadium,day,1,5,6,1,"83 degrees, Sunny.","10 mph, Out To LF.",2022
661421,2022-07-21,Texas Rangers,Miami Marlins,loanDepot park,day,8,0,8,1,"72 degrees, Dome.","0 mph, None.",2022
661080,2022-07-17,Pittsburgh Pirates,Colorado Rockies,Coors Field,day,8,3,11,0,"96 degrees, Sunny.","8 mph, R To L.",2022
662408,2022-07-21,Detroit Tigers,Oakland Athletics,Oakland Coliseum,day,0,5,5,1,"68 degrees, Clear.","17 mph, Varies.",2022
662948,2022-07-17,Detroit Tigers,Cleveland Guardians,Progressive Field,day,7,5,12,4,"76 degrees, Clear.","8 mph, In From RF.",2022
662776,2022-07-21,New York Yankees,Houston Astros,Minute Maid Park,day,2,3,5,1,"73 degrees, Roof Closed.","0 mph, None.",2022
